股票代码,股票名称,当日股价,当日涨跌幅,操作策略,持有天数,持有期间总收益率,回测期间总收益率
sh.600362,江西铜业,22.91,-2.14,观望,0,0.0,0.0
sh.600361,创新新材,4.05,-1.46,观望,0,0.0,0.0
sh.600363,联创光电,57.69,0.16,持有,16,1.02,39.25
sh.600366,宁波韵升,10.96,-2.75,观望,0,0.0,0.0
sh.600365,ST通葡,3.44,-0.58,持有,16,1.78,-13.85
sh.600368,五洲交通,4.35,-0.23,卖出,44,-2.25,17.11
sh.600367,红星发展,14.93,-1.78,持有,7,-2.55,40.18
sh.600373,中文传媒,10.27,0.88,观望,0,0.0,0.0
sh.600370,三房巷,1.99,-0.5,卖出,44,2.58,38.52
sh.600369,西南证券,4.44,0.23,观望,0,0.0,0.0
sh.600372,中航机载,11.89,-0.25,观望,0,0.0,0.0
sh.600375,汉马科技,6.85,-3.39,持有,2,-3.79,-1.2
sh.600371,万向德农,9.45,-0.32,卖出,16,6.9,19.67
sh.600376,首开股份,2.56,0.0,观望,0,0.0,0.0
sh.600377,宁沪高速,15.29,0.86,持有,28,-3.84,44.82
sh.600380,健康元,11.49,0.97,观望,0,0.0,0.0
sh.600381,*ST春天,4.27,-0.93,持有,14,-6.77,-59.7
sh.600379,宝光股份,12.68,-1.71,观望,0,0.0,0.0
sh.600382,广东明珠,5.63,0.72,持有,19,7.65,72.87
sh.600378,昊华科技,25.03,-0.87,观望,0,0.0,0.0
sh.600383,金地集团,3.94,1.03,观望,0,0.0,0.0
sh.600388,龙净环保,11.93,1.1,持有,2,1.53,-33.78
sh.600386,北巴传媒,4.64,0.0,观望,0,0.0,0.0
sh.600387,*ST海越,0.94,0.0,观望,0,0.0,0.0
sh.600390,五矿资本,6.18,2.32,观望,0,0.0,0.0
sh.600392,盛和资源,12.97,-1.74,持有,16,0.31,-1.28
sh.600391,航发科技,27.65,0.11,观望,0,0.0,0.0
sh.600389,江山股份,19.71,-0.05,观望,0,0.0,0.0
sh.600395,盘江股份,4.79,0.0,观望,0,0.0,0.0
sh.600396,华电辽能,3.95,4.5,观望,0,0.0,0.0
sh.600397,安源煤业,6.33,-1.71,持有,1,-1.71,84.42
sh.600399,抚顺特钢,5.19,-0.95,观望,0,0.0,0.0
sh.600398,海澜之家,7.46,0.27,观望,0,0.0,0.0
sh.600403,大有能源,4.02,1.26,观望,0,0.0,0.0
sh.600400,红豆股份,2.26,0.89,观望,0,0.0,0.0
sh.600405,动力源,5.61,-0.36,观望,0,0.0,0.0
sh.600408,安泰集团,2.18,0.46,持有,23,4.81,0.06
sh.600406,国电南瑞,22.09,0.0,持有,2,-0.32,18.06
sh.600409,三友化工,4.97,-0.4,观望,0,0.0,0.0
sh.600410,华胜天成,9.71,-0.82,观望,0,0.0,0.0
sh.600415,小商品城,19.26,1.74,持有,6,3.27,98.5
sh.600416,湘电股份,13.25,-2.29,观望,0,0.0,0.0
sh.600418,江淮汽车,40.42,-3.23,持有,14,-3.28,111.6
